algorithm,function,dimension,n_operators,n_coalitions,baseline_time_s,baseline_std_s,instrumented_time_s,instrumented_std_s,quickshap_time_s,tracking_time_s,kernelshap_time_s,exact_time_s,instrumentation_overhead_pct,quickshap_overhead_pct,tracking_overhead_pct,kernelshap_multiplier,exact_multiplier,single_run_fes,exact_total_fes
DE,sphere,10,2,4,0.8375856720997035,0.49556837588376706,0.7855635063999216,0.23032378172630186,0.00011729739962902385,0.003481396200004383,36.45237725900006,24.041057189999265,-6.210966523504399,0.014004227094164184,0.415646579922629,43.520774618337654,28.702803773770256,5000,100000
DE,sphere,30,2,4,0.7124390127002698,0.1743336177579802,0.8102794996997545,0.3211124093906496,9.261440027330536e-05,0.0020981935998861446,21.2620257210001,24.412263429998347,13.733173682986848,0.012999625037696971,0.29450852107798253,29.84399414121535,34.2657588857628,5000,100000
DE,rastrigin,10,2,4,0.6185541142996953,0.12485543626960646,0.6724330721001024,0.17494690247115455,0.000174140400304168,0.003044310199766187,19.156318965999162,20.659497826000006,8.710467937216276,0.028152815780931876,0.49216554047382666,30.969511839214352,33.3996611588138,5000,100000
DE,rastrigin,30,2,4,0.622432301400113,0.15425338822534812,0.6814688966998801,0.18175535767251005,0.00016625839998596348,0.002587579699866183,21.65701609899952,24.25666664199889,9.484821910265406,0.026711081608711204,0.4157206645679577,34.79417127016665,38.97077093755483,5000,100000
DE,ackley,10,2,4,0.5749309862998416,0.1132529710768065,0.6984556837995115,0.19475717694349604,0.00010096050009451573,0.0021029052997619145,21.042023951999,24.940678701999786,21.485134814989514,0.017560455515588123,0.3657665615304293,36.599217042417386,43.38030006438471,5000,100000
DE,ackley,30,2,4,0.653971006500069,0.15798499457631618,0.7893293104001714,0.22364373189734474,0.00013423210020846454,0.00348037409967219,24.92986885499886,32.30690770699948,20.697905955267775,0.020525695921421616,0.5321908869169145,38.12075551853418,49.40113152706881,5000,100000
GA,sphere,10,3,8,0.7911156890999337,0.19696672848413924,0.7812348539000595,0.20117722354418124,0.00020840150009462377,0.004301426200072456,20.820865288000277,30.18974167200031,-1.248974749965552,0.026342733808215307,0.5437164575722502,26.31835719462035,38.160969486457425,5000,200000
GA,sphere,30,3,8,1.4102631985997505,0.41113139159849543,1.1572371322003163,0.20061260957221105,0.0002500473001418868,0.005021875199963688,28.389000887000293,31.128360623000844,-17.941761981073007,0.017730541390441064,0.3560948910068635,20.13028554895832,22.07273128442136,5000,200000
GA,rastrigin,10,3,8,0.8198633880998386,0.27171156084038056,1.460086473899537,0.6911868245320296,0.00014660939978057287,0.0037898092003160857,39.51622803899954,28.999016584000856,78.08899569030827,0.017882174263246838,0.4622488643015954,48.198551871653365,35.37054709957302,5000,200000
GA,rastrigin,30,3,8,1.3372480908003126,0.4927950609392994,1.3939451172998816,0.35740408128500195,0.000137621799876797,0.0026437147998876753,37.917974953999874,90.83247398000094,4.2398285620761,0.010291418684653606,0.19769815474595084,28.355228334113253,67.92492328453412,5000,200000
GA,ackley,10,3,8,2.0647313415996904,0.35572945636376224,2.1412313719998566,0.5040415582551225,0.000374572500368231,0.008792987499873561,108.80120151800111,74.7288060439987,3.705083991261367,0.018141464355262014,0.4258659382319941,52.69508886018327,36.19299254018255,5000,200000
GA,ackley,30,3,8,3.488632223000059,1.1861300193809532,2.788077090799925,0.38007001450085187,0.0002761776000625105,0.006944635199761251,35.31773764299942,32.46253022500059,-20.081082998129556,0.00791650086362531,0.1990646980205094,10.123663196755041,9.305231434537502,5000,200000
PSO,sphere,10,2,4,0.45054674989987686,0.0827702821007652,0.5026462126003025,0.12310417795141741,6.48209999781102e-05,0.0014903463999871747,17.112360439999975,21.287463505999767,11.56360859600108,0.014387186233729376,0.3307861837463855,37.98132034867144,47.24806806559007,5000,100000
PSO,sphere,30,2,4,0.4784467544999643,0.09409844318663085,0.5430765496003005,0.10334947179036785,5.583799993473804e-05,0.0026237693997245514,17.470268938999652,19.283260934998907,13.508252379699442,0.011670682141651397,0.5483931858763914,36.51455208899522,40.30388074249199,5000,100000
PSO,rastrigin,10,2,4,0.41121827619990653,0.07596638791729031,0.5226471819994913,0.06256328939827097,9.624879985494771e-05,0.001970418099517701,15.73914605400023,18.15029363099893,27.097264943889705,0.023405769010168713,0.47916598399430504,38.274432253951964,44.13785738981962,5000,100000
PSO,rastrigin,30,2,4,0.43519372029986697,0.07038665178684814,0.6236434909998934,0.1380750452892477,6.224390017450787e-05,0.001404092500160914,16.85935410500133,22.13651501900131,43.302502290285,0.014302573146418376,0.3226362042157765,38.73988368532643,50.865887963062306,5000,100000
PSO,ackley,10,2,4,0.4763207675996455,0.11060553115578282,0.5978118459999677,0.13000863550378805,6.980090020078933e-05,0.003252588200120954,19.744418913000118,20.677057689999856,25.5061476770287,0.014654179483406023,0.6828566842701265,41.451937971336974,43.40994366926118,5000,100000
PSO,ackley,30,2,4,0.4800567456002682,0.07829967559765572,0.7229188916999192,0.29855285829391737,6.849769961263519e-05,0.001965603799908422,18.28707537900118,23.704117078999843,50.59029965217415,0.014268667244116094,0.40945238618626423,38.09357028435216,49.37773981148824,5000,100000
