algorithm,function,dimension,interaction,value
DE,dixon_price,10,crossover_binomial_x_selection_greedy,-1.0464407118604413e-12
DE,dixon_price,30,mutation_rand/1_x_crossover_binomial,-1697295.3847967053
DE,dixon_price,30,mutation_rand/1_x_selection_greedy,2.5011104298755527e-12
DE,dixon_price,30,crossover_binomial_x_selection_greedy,2.5011104298755527e-12
DE,dixon_price,50,mutation_rand/1_x_crossover_binomial,-5661668.769628164
DE,dixon_price,50,mutation_rand/1_x_selection_greedy,9.094947017729282e-11
DE,dixon_price,50,crossover_binomial_x_selection_greedy,9.094947017729282e-11
GA,sphere,10,selection_tournament_x_crossover_sbx,-1.5455829863163708
GA,sphere,10,selection_tournament_x_mutation_polynomial,-0.23883928114234895
GA,sphere,10,crossover_sbx_x_mutation_polynomial,30.13930951142961
GA,sphere,30,selection_tournament_x_crossover_sbx,-10.789597606486211
GA,sphere,30,selection_tournament_x_mutation_polynomial,-44.334468080994675
GA,sphere,30,crossover_sbx_x_mutation_polynomial,103.91180930226903
GA,sphere,50,selection_tournament_x_crossover_sbx,-37.722863631100324
GA,sphere,50,selection_tournament_x_mutation_polynomial,-107.9506190499319
GA,sphere,50,crossover_sbx_x_mutation_polynomial,146.83345946744595
GA,rosenbrock,10,selection_tournament_x_crossover_sbx,-763.6187119465017
GA,rosenbrock,10,selection_tournament_x_mutation_polynomial,-123.22232525382842
GA,rosenbrock,10,crossover_sbx_x_mutation_polynomial,121075.9904968257
GA,rosenbrock,30,selection_tournament_x_crossover_sbx,65217.30259276345
GA,rosenbrock,30,selection_tournament_x_mutation_polynomial,-152393.279469419
GA,rosenbrock,30,crossover_sbx_x_mutation_polynomial,1072762.9701448716
GA,rosenbrock,50,selection_tournament_x_crossover_sbx,327762.65385163826
GA,rosenbrock,50,selection_tournament_x_mutation_polynomial,-666025.4973419696
GA,rosenbrock,50,crossover_sbx_x_mutation_polynomial,2318309.792557694
GA,rastrigin,10,selection_tournament_x_crossover_sbx,-9.426078936932058
GA,rastrigin,10,selection_tournament_x_mutation_polynomial,-26.965912432409397
GA,rastrigin,10,crossover_sbx_x_mutation_polynomial,78.65086491024451
GA,rastrigin,30,selection_tournament_x_crossover_sbx,-105.16768864216502
GA,rastrigin,30,selection_tournament_x_mutation_polynomial,-102.16201433197628
GA,rastrigin,30,crossover_sbx_x_mutation_polynomial,197.79638767263606
