algorithm,function,dimension,operator,shapley_value,ci_lower,ci_upper,total_contribution,pct_contribution
DE,sphere,10,mutation_rand/1,17.795084756434118,16.187219490304905,19.40295002256333,35.59016951286824,49.999999999999986
DE,sphere,10,crossover_binomial,17.795084756434118,16.187219490304905,19.40295002256333,35.59016951286824,49.999999999999986
DE,sphere,10,selection_greedy,0.0,0.0,0.0,35.59016951286824,0.0
DE,sphere,30,mutation_rand/1,83.45349311796787,80.42007486793636,86.48691136799937,166.9069862359357,50.000000000000014
DE,sphere,30,crossover_binomial,83.45349311796787,80.42007486793636,86.48691136799937,166.9069862359357,50.000000000000014
DE,sphere,30,selection_greedy,0.0,0.0,0.0,166.9069862359357,0.0
DE,sphere,50,mutation_rand/1,151.96037821317728,149.02740075233132,154.89335567402324,303.92075642635456,50.0
DE,sphere,50,crossover_binomial,151.96037821317728,149.02740075233132,154.89335567402324,303.92075642635456,50.0
DE,sphere,50,selection_greedy,0.0,0.0,0.0,303.92075642635456,0.0
DE,rosenbrock,10,mutation_rand/1,63031.94046893146,51758.11688486188,74305.76405300104,126063.88093786294,49.99999999999999
DE,rosenbrock,10,crossover_binomial,63031.94046893146,51758.11688486188,74305.76405300104,126063.88093786294,49.99999999999999
DE,rosenbrock,10,selection_greedy,0.0,0.0,0.0,126063.88093786294,0.0
DE,rosenbrock,30,mutation_rand/1,637771.7451641317,561065.0085567314,714478.4817715321,1275543.4903282633,50.000000000000014
DE,rosenbrock,30,crossover_binomial,637771.7451641317,561065.0085567314,714478.4817715321,1275543.4903282633,50.000000000000014
DE,rosenbrock,30,selection_greedy,0.0,0.0,0.0,1275543.4903282633,0.0
DE,rosenbrock,50,mutation_rand/1,1609887.2966409002,1493131.6590436778,1726642.9342381225,3219774.593281801,49.99999999999999
DE,rosenbrock,50,crossover_binomial,1609887.2966409002,1493131.6590436778,1726642.9342381225,3219774.593281801,49.99999999999999
DE,rosenbrock,50,selection_greedy,0.0,0.0,0.0,3219774.593281801,0.0
DE,rastrigin,10,mutation_rand/1,35.92849579756133,33.15116910313045,38.705822491992215,71.85699159512268,49.999999999999986
DE,rastrigin,10,crossover_binomial,35.92849579756133,33.15116910313045,38.705822491992215,71.85699159512268,49.999999999999986
DE,rastrigin,10,selection_greedy,0.0,0.0,0.0,71.85699159512268,0.0
DE,rastrigin,30,mutation_rand/1,86.96475056042048,80.38425349329742,93.54524762754355,173.92950112084088,50.00000000000002
DE,rastrigin,30,crossover_binomial,86.96475056042048,80.38425349329742,93.54524762754355,173.92950112084088,50.00000000000002
DE,rastrigin,30,selection_greedy,0.0,0.0,0.0,173.92950112084088,0.0
DE,rastrigin,50,mutation_rand/1,147.98241642745614,142.4639269904133,153.50090586449898,295.96483285491234,49.999999999999986
DE,rastrigin,50,crossover_binomial,147.98241642745614,142.4639269904133,153.50090586449898,295.96483285491234,49.999999999999986
DE,rastrigin,50,selection_greedy,0.0,0.0,0.0,295.96483285491234,0.0
DE,schwefel,10,mutation_rand/1,555.706131458407,491.1466689115724,620.2655940052415,1111.4122629168132,50.000000000000036
DE,schwefel,10,crossover_binomial,555.706131458407,491.1466689115724,620.2655940052415,1111.4122629168132,50.000000000000036
DE,schwefel,10,selection_greedy,0.0,0.0,0.0,1111.4122629168132,0.0
DE,schwefel,30,mutation_rand/1,972.6049127356586,862.8799416814451,1082.3298837898722,1945.2098254713183,49.99999999999997
DE,schwefel,30,crossover_binomial,972.6049127356586,862.8799416814451,1082.3298837898722,1945.2098254713183,49.99999999999997
DE,schwefel,30,selection_greedy,0.0,0.0,0.0,1945.2098254713183,0.0
DE,schwefel,50,mutation_rand/1,1297.7196186442673,1148.4531556749407,1446.9860816135938,2595.4392372885413,49.999999999999865
DE,schwefel,50,crossover_binomial,1297.7196186442673,1148.4531556749407,1446.9860816135938,2595.4392372885413,49.999999999999865
DE,schwefel,50,selection_greedy,0.0,0.0,0.0,2595.4392372885413,0.0
DE,ackley,10,mutation_rand/1,9.386327250132044,9.233893702738609,9.53876079752548,18.77265450026409,50.0
DE,ackley,10,crossover_binomial,9.386327250132044,9.233893702738609,9.53876079752548,18.77265450026409,50.0
DE,ackley,10,selection_greedy,0.0,0.0,0.0,18.77265450026409,0.0
DE,ackley,30,mutation_rand/1,5.747908553787601,5.579889441747365,5.915927665827838,11.495817107575197,50.00000000000002
DE,ackley,30,crossover_binomial,5.747908553787601,5.579889441747365,5.915927665827838,11.495817107575197,50.00000000000002
DE,ackley,30,selection_greedy,0.0,0.0,0.0,11.495817107575197,0.0
DE,ackley,50,mutation_rand/1,3.7870423761190124,3.661425088789913,3.9126596634481117,7.574084752238022,50.00000000000002
DE,ackley,50,crossover_binomial,3.7870423761190124,3.661425088789913,3.9126596634481117,7.574084752238022,50.00000000000002
DE,ackley,50,selection_greedy,0.0,0.0,0.0,7.574084752238022,0.0
DE,griewank,10,mutation_rand/1,61.23477768060471,55.71993682345648,66.74961853775294,122.46955536120942,50.0
DE,griewank,10,crossover_binomial,61.23477768060471,55.71993682345648,66.74961853775294,122.46955536120942,50.0
DE,griewank,10,selection_greedy,0.0,0.0,0.0,122.46955536120942,0.0
DE,griewank,30,mutation_rand/1,286.51483064430073,276.10041570984333,296.9292455787581,573.0296612886017,49.99999999999998
DE,griewank,30,crossover_binomial,286.51483064430073,276.10041570984333,296.9292455787581,573.0296612886017,49.99999999999998
DE,griewank,30,selection_greedy,0.0,0.0,0.0,573.0296612886017,0.0
DE,griewank,50,mutation_rand/1,521.7145553299752,511.64497634050235,531.784134319448,1043.4291106599505,49.999999999999986
DE,griewank,50,crossover_binomial,521.7145553299752,511.64497634050235,531.784134319448,1043.4291106599505,49.999999999999986
DE,griewank,50,selection_greedy,0.0,0.0,0.0,1043.4291106599505,0.0
DE,levy,10,mutation_rand/1,17.317657704618245,15.84703001413021,18.788285395106282,34.63531540923649,50.0
DE,levy,10,crossover_binomial,17.317657704618245,15.84703001413021,18.788285395106282,34.63531540923649,50.0
DE,levy,10,selection_greedy,0.0,0.0,0.0,34.63531540923649,0.0
DE,levy,30,mutation_rand/1,101.41935171659928,96.91220787997493,105.92649555322363,202.83870343319853,50.000000000000014
DE,levy,30,crossover_binomial,101.41935171659928,96.91220787997493,105.92649555322363,202.83870343319853,50.000000000000014
DE,levy,30,selection_greedy,0.0,0.0,0.0,202.83870343319853,0.0
DE,levy,50,mutation_rand/1,181.73866961896388,174.92995720242226,188.5473820355055,363.47733923792777,50.0
DE,levy,50,crossover_binomial,181.73866961896388,174.92995720242226,188.5473820355055,363.47733923792777,50.0
DE,levy,50,selection_greedy,0.0,0.0,0.0,363.47733923792777,0.0
DE,zakharov,10,mutation_rand/1,970.2848005889831,-176.10165129975087,2116.671252477717,1940.5696011779664,49.99999999999999
DE,zakharov,10,crossover_binomial,970.2848005889831,-176.10165129975087,2116.671252477717,1940.5696011779664,49.99999999999999
DE,zakharov,10,selection_greedy,0.0,0.0,0.0,1940.5696011779664,0.0
DE,zakharov,30,mutation_rand/1,194288177.29792053,77974440.20269914,310601914.3931419,388576354.59584117,49.999999999999986
DE,zakharov,30,crossover_binomial,194288177.29792053,77974440.20269914,310601914.3931419,388576354.59584117,49.999999999999986
DE,zakharov,30,selection_greedy,0.0,0.0,0.0,388576354.59584117,0.0
DE,zakharov,50,mutation_rand/1,82323056768.25668,57087304424.48244,107558809112.03093,164646113536.5134,49.999999999999986
DE,zakharov,50,crossover_binomial,82323056768.25668,57087304424.48244,107558809112.03093,164646113536.5134,49.999999999999986
DE,zakharov,50,selection_greedy,0.0,0.0,0.0,164646113536.5134,0.0
DE,dixon_price,10,mutation_rand/1,37514.26472085915,30801.834465914108,44226.694975804196,75028.52944171829,50.000000000000014
DE,dixon_price,10,crossover_binomial,37514.26472085915,30801.834465914108,44226.694975804196,75028.52944171829,50.000000000000014
DE,dixon_price,10,selection_greedy,0.0,0.0,0.0,75028.52944171829,0.0
DE,dixon_price,30,mutation_rand/1,848647.6923983527,789858.0190146548,907437.3657820505,1697295.3847967053,50.0
DE,dixon_price,30,crossover_binomial,848647.6923983527,789858.0190146548,907437.3657820505,1697295.3847967053,50.0
DE,dixon_price,30,selection_greedy,0.0,0.0,0.0,1697295.3847967053,0.0
DE,dixon_price,50,mutation_rand/1,2830834.3848140817,2704294.0005733557,2957374.7690548077,5661668.769628164,49.99999999999999
DE,dixon_price,50,crossover_binomial,2830834.3848140817,2704294.0005733557,2957374.7690548077,5661668.769628164,49.99999999999999
DE,dixon_price,50,selection_greedy,0.0,0.0,0.0,5661668.769628164,0.0
GA,sphere,10,selection_tournament,1.1148357986787858,0.9817966673349097,1.6603277298038641,35.590215777256724,3.132422139995007
GA,sphere,10,crossover_sbx,14.526287407968635,12.8934122183677,16.122183823372318,35.590215777256724,40.81539572247099
GA,sphere,10,mutation_polynomial,19.949092570609302,18.106978947446894,21.415732168187763,35.590215777256724,56.052182137534004
GA,sphere,30,selection_tournament,35.92212021270823,33.90244153115808,38.97239740459984,170.3974647019413,21.081370122227515
GA,sphere,30,crossover_sbx,61.309019167621905,57.299854296745146,66.90454763813874,170.3974647019413,35.980006671380615
GA,sphere,30,mutation_polynomial,73.16632532161114,69.364773052736,74.35091548050478,170.3974647019413,42.93862320639186
GA,sphere,50,selection_tournament,82.95717198305854,77.29118939577207,84.33438818769137,324.37208871691195,25.574694885495358
GA,sphere,50,crossover_sbx,133.04845058176008,127.23394371034948,140.2304340099398,324.37208871691195,41.01723150966758
GA,sphere,50,mutation_polynomial,108.36646615209332,106.10741009232795,113.54681203774312,324.37208871691195,33.408073604837064
GA,rosenbrock,10,selection_tournament,629.1641622067261,-173.131298685995,522.80568702148,126057.31192280857,0.49910961340504867
GA,rosenbrock,10,crossover_sbx,60416.18030441093,50139.31525394702,72470.3986719914,126057.31192280857,47.927549289173236
GA,rosenbrock,10,mutation_polynomial,65011.96745619088,53142.12842653661,76013.10710480662,126057.31192280857,51.57334109742169
GA,rosenbrock,30,selection_tournament,83303.49789223775,75620.09299289565,97703.1672006277,1277673.5612795865,6.519935953657015
GA,rosenbrock,30,crossover_sbx,617551.9809806664,530386.0489181455,697067.922550174,1277673.5612795865,48.33409719789378
GA,rosenbrock,30,mutation_polynomial,576818.0824066827,510729.0722945248,643840.8186028054,1277673.5612795865,45.14596684844922
GA,rosenbrock,50,selection_tournament,340029.22715154884,300894.3652772994,355166.3985330163,3249756.2443683334,10.463222518328957
GA,rosenbrock,50,crossover_sbx,1714455.1456555915,1565733.5481863408,1848599.7939436077,3249756.2443683334,52.75642284330271
GA,rosenbrock,50,mutation_polynomial,1195271.8715611922,1133474.733312024,1295643.6494843776,3249756.2443683334,36.780354638368316
GA,rastrigin,10,selection_tournament,20.72343306859406,19.32190973652239,22.41735548561333,111.20608220019409,18.635161547448067
GA,rastrigin,10,crossover_sbx,41.79152912416201,39.8743038448779,45.31566680806763,111.20608220019409,37.580254872146796
GA,rastrigin,10,mutation_polynomial,48.691120007438,44.83340384241614,50.649524682890764,111.20608220019409,43.78458358040512
GA,rastrigin,30,selection_tournament,110.69500292880153,106.41362464458855,115.25387551082822,378.5666705845687,29.240556956023195
GA,rastrigin,30,crossover_sbx,133.4924161540826,124.08979582926982,138.84011554817621,378.5666705845687,35.26259085300577
GA,rastrigin,30,mutation_polynomial,134.3792515016847,129.7250344747368,142.8108951615381,378.5666705845687,35.49685219097107
GA,rastrigin,50,selection_tournament,190.41402428965588,189.4035141732758,204.27405868276125,642.029702173138,29.658133205542313
GA,rastrigin,50,crossover_sbx,232.1489115306751,222.3041716517694,242.962454574622,642.029702173138,36.15859371379532
GA,rastrigin,50,mutation_polynomial,219.46676635280699,205.6979868264819,219.41721843736548,642.029702173138,34.18327308066235
GA,schwefel,10,selection_tournament,501.4357787503043,426.70377201242144,566.9132429629566,2690.7092777889916,18.635821524439976
GA,schwefel,10,crossover_sbx,1165.2244506648651,1085.5098932602602,1268.4267817925622,2690.7092777889916,43.30547563363489
GA,schwefel,10,mutation_polynomial,1024.049048373822,936.6105786015846,1097.2542869481983,2690.7092777889916,38.058702841925125
GA,schwefel,30,selection_tournament,2345.9666767730355,2244.475456324894,2502.529454692283,9469.935845526683,24.77278320614179
GA,schwefel,30,crossover_sbx,4017.0599871804525,3943.2324476927884,4353.579957866241,9469.935845526683,42.41908343104555
GA,schwefel,30,mutation_polynomial,3106.909181573193,2768.8804735799868,3127.173900897169,9469.935845526683,32.80813336281264
GA,schwefel,50,selection_tournament,4349.300986388751,4063.663606487816,4399.757100843345,15822.692339867097,27.48774287565578
GA,schwefel,50,crossover_sbx,6651.958227006037,6554.4759684517685,7141.370813597918,15822.692339867097,42.04062168513295
GA,schwefel,50,mutation_polynomial,4821.433126472302,4554.573582176851,4931.543608176485,15822.692339867097,30.471635439211227
GA,ackley,10,selection_tournament,4.610378182907132,4.739644606956998,5.484341391383658,19.31211927773459,23.872979016976913
GA,ackley,10,crossover_sbx,3.514480415159843,2.6787554330415357,3.326573209391788,19.31211927773459,18.198315599737274
GA,ackley,10,mutation_polynomial,11.187260679667611,10.790973879772755,11.60395003492244,19.31211927773459,57.9287053832858
GA,ackley,30,selection_tournament,6.002899959028044,5.880238713716087,6.244295629690839,16.95201499797016,35.41112935392538
GA,ackley,30,crossover_sbx,5.318542219897821,4.948504387986788,5.548877459520068,16.95201499797016,31.37410048619391
GA,ackley,30,mutation_polynomial,5.630572819044301,5.486432164806501,5.795681640220052,16.95201499797016,33.21477015988074
GA,ackley,50,selection_tournament,4.453753069052653,4.209193475691894,4.672070820101338,13.197579394365217,33.746742004478556
GA,ackley,50,crossover_sbx,4.91845102804277,4.7103344589634135,5.152043234455413,13.197579394365217,37.26782678149851
GA,ackley,50,mutation_polynomial,3.825375297269795,3.5960529768872918,4.055463822631087,13.197579394365217,28.985431214022938
GA,griewank,10,selection_tournament,4.163088745595358,3.0024050535334665,4.931515747380835,122.71595298973776,3.392459288437829
GA,griewank,10,crossover_sbx,50.362159304384804,45.51133907046911,56.30855795161596,122.71595298973776,41.03961879234755
GA,griewank,10,mutation_polynomial,68.1907049397576,62.158071898193086,73.52001625828304,122.71595298973776,55.56792191921461
GA,griewank,30,selection_tournament,121.70855969666722,116.04789420974004,135.16392986840404,585.0125288228386,20.804436435159605
GA,griewank,30,crossover_sbx,212.91670725223136,198.0129390803928,227.06130518120307,585.0125288228386,36.39523886448416
GA,griewank,30,mutation_polynomial,250.38726187393985,236.63889305240252,257.1000962535342,585.0125288228386,42.80032470035621
GA,griewank,50,selection_tournament,278.7089187334823,265.57012583974654,286.13757043673786,1113.3433966549278,25.033508939907602
GA,griewank,50,crossover_sbx,453.8587023509661,441.176007886762,480.438278707975,1113.3433966549278,40.765383233474736
GA,griewank,50,mutation_polynomial,380.7757755704791,364.50345040084267,388.86136003779075,1113.3433966549278,34.20110782661763
GA,levy,10,selection_tournament,2.3392434859694635,2.2719087997566665,3.497929805031473,34.66015885088268,6.749084722991368
GA,levy,10,crossover_sbx,14.908007324263231,13.32987405491906,16.46911964840475,34.66015885088268,43.01194171787119
GA,levy,10,mutation_polynomial,17.412908040649995,15.378058650670598,18.373426742982826,34.66015885088268,50.23897355913747
GA,levy,30,selection_tournament,30.044307113804095,27.38783767515519,32.325438205634235,210.14249551576253,14.29711160518245
GA,levy,30,crossover_sbx,90.71359603296855,86.08981477604651,98.54739430925751,210.14249551576253,43.167659073585256
GA,levy,30,mutation_polynomial,89.38459236898991,84.0075230343728,91.92698303105898,210.14249551576253,42.53522932123231
GA,levy,50,selection_tournament,74.02847640636486,71.8276980090691,78.72906686819293,393.2880920574299,18.82296410732793
GA,levy,50,crossover_sbx,168.87406873928407,157.62858424164807,176.7420116770403,393.2880920574299,42.93902412754064
GA,levy,50,mutation_polynomial,150.3855469117809,143.38834047536847,158.26048284354084,393.2880920574299,38.23801176513141
GA,zakharov,10,selection_tournament,8.751838772519921,2.2358158342540086,7.194252971662857,1938.1191197290739,0.4515635124503248
GA,zakharov,10,crossover_sbx,947.7972622385133,-197.09406660720458,2096.5249108098046,1938.1191197290739,48.90294165051136
GA,zakharov,10,mutation_polynomial,981.5700187180403,-161.83192964439297,2129.2092560940227,1938.1191197290739,50.6454948370383
GA,zakharov,30,selection_tournament,12.04859421517484,0.7361259554860808,19.842620476411945,388576370.129428,3.100701725933994e-06
GA,zakharov,30,crossover_sbx,194288200.75181442,77974457.36952211,310601931.0538078,388576370.129428,50.00000403707009
GA,zakharov,30,mutation_polynomial,194288157.32901925,77974428.41338995,310601902.84338963,388576370.129428,49.99999286222815
GA,zakharov,50,selection_tournament,38758659.83967087,-4779103.252301276,118162850.47076589,164646113646.3276,0.023540585915636868
GA,zakharov,50,crossover_sbx,82361815546.34857,57122384616.91871,107637112940.57782,164646113646.3276,50.02354062438912
GA,zakharov,50,mutation_polynomial,82245539440.13934,57016749905.26101,107402596082.6792,164646113646.3276,49.952918789695225
GA,dixon_price,10,selection_tournament,287.00784123693245,-202.36552296666258,843.4771716751015,75028.49507909518,0.3825317846697688
GA,dixon_price,10,crossover_sbx,35029.1319540699,28512.633455878473,41697.55725477138,75028.49507909518,46.68777098240091
GA,dixon_price,10,mutation_polynomial,39712.35528378838,32921.14434789504,46284.54345093705,75028.49507909518,52.929697232929364
GA,dixon_price,30,selection_tournament,161102.4616076438,136538.51943935093,182604.07107108692,1699238.2282678857,9.480863773401756
GA,dixon_price,30,crossover_sbx,749881.6404178584,683093.0055577885,810302.2723889581,1699238.2282678857,44.130459634388544
GA,dixon_price,30,mutation_polynomial,788254.1262423833,742593.9277185579,843344.6603600294,1699238.2282678857,46.388676592209684
GA,dixon_price,50,selection_tournament,948562.4123783787,800970.8473213037,943695.9939173501,5718662.387301381,16.587137832873577
GA,dixon_price,50,crossover_sbx,2537375.1381937987,2343412.7103951313,2687356.9788351348,5718662.387301381,44.37008108448903
GA,dixon_price,50,mutation_polynomial,2232724.8367292015,2228260.846673454,2433627.3974603815,5718662.387301381,39.042781082637354
PSO,sphere,10,velocity_constriction,14.09699755110101,12.632247783978872,15.561747318223148,30.518663002996114,46.191399504352674
PSO,sphere,10,position_update,14.09699755110101,12.632247783978872,15.561747318223148,30.518663002996114,46.191399504352674
